Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
in progress,1035,high,email,training request,1st line support,connor danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,within sla,,sla violated,,7.0,,training and consulting services,tier 1,germany,51.165691,10.451526
resolved,1037,low,email,product setup,1st line support,sheela cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,within sla,2023-01-07 11:23:15.054,within sla,2023-01-07 11:23:15.054,1.0,,custom software development,tier 1,poland,52.536273,19.050639
closed,1038,high,chat,other,1st line support,bernard beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 04:19:42.046,within sla,2023-01-05 19:22:17.161,within sla,2023-01-12 18:08:53.602,3.0,3.0,other,tier 1,italy,43.036776,12.678565
resolved,1039,medium,chat,purchasing and invoicing,2nd line support,adolpho messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,within sla,2023-01-05 07:37:10.835,within sla,2023-01-05 07:37:10.835,3.0,,custom software development,tier 2,poland,52.536273,19.050639
in progress,1040,high,chat,bug report,2nd line support,heather urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,within sla,,sla violated,,6.0,,ready to use software,tier 2,poland,52.536273,19.050639
closed,1041,low,chat,product setup,1st line support,bernard beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 03:04:27.475,sla violated,2023-01-05 21:50:51.227,within sla,2023-01-06 11:37:32.085,8.0,2.0,ready to use software,tier 1,germany,51.165691,10.451526
closed,1043,high,email,pricing and licensing,1st line support,connor danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-05 04:02:04.982,within sla,2023-01-06 17:14:14.261,within sla,2023-01-09 18:40:33.584,3.0,5.0,custom software development,tier 1,italy,43.036776,12.678565
closed,1044,low,chat,product setup,1st line support,kristos westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-06 20:47:41.330,within sla,2023-01-07 00:07:32.803,within sla,2023-01-13 23:39:58.864,3.0,2.0,custom software development,tier 1,italy,43.036776,12.678565
resolved,1045,medium,email,bug report,1st line support,kristos westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,within sla,2023-01-08 07:15:33.362,within sla,2023-01-08 07:15:33.362,4.0,,ready to use software,tier 1,slovenia,46.1491664,14.9860106
resolved,1046,high,email,bug report,1st line support,sheela cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,within sla,2023-01-07 06:22:47.483,within sla,2023-01-07 06:22:47.483,1.0,,custom software development,tier 1,poland,52.536273,19.050639
in progress,1047,low,email,pricing and licensing,1st line support,bernard beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,within sla,,sla violated,,1.0,,training and consulting services,tier 1,greece,39.368279,21.863141
in progress,1048,low,chat,pricing and licensing,1st line support,bernard beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,within sla,,sla violated,,8.0,,ready to use software,tier 1,greece,39.368279,21.863141
closed,1049,medium,chat,pricing and licensing,1st line support,sheela cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-06 12:06:37.265,within sla,2023-01-11 05:34:05.275,sla violated,2023-01-11 20:40:58.211,3.0,4.0,custom software development,tier 1,poland,52.536273,19.050639
closed,1050,low,email,product setup,1st line support,nicola wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-07 01:33:11.308,within sla,2023-01-12 02:26:01.957,sla violated,2023-01-14 00:42:18.528,6.0,4.0,training and consulting services,tier 1,spain,39.67337,-4.767726
closed,1054,high,email,purchasing and invoicing,2nd line support,michele whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-07 06:09:50.229,within sla,2023-01-08 08:30:22.633,within sla,2023-01-14 16:18:51.456,2.0,5.0,custom software development,tier 2,italy,43.036776,12.678565
closed,1055,high,email,bug report,1st line support,connor danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-07 19:04:58.137,within sla,2023-01-09 13:07:23.232,within sla,2023-01-12 22:16:01.046,8.0,4.0,ready to use software,tier 1,republic of ireland,53.094024,-8.019675
resolved,1056,low,email,bug report,1st line support,kristos westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,within sla,2023-01-08 13:56:19.524,within sla,2023-01-08 13:56:19.524,8.0,,custom software development,tier 1,germany,51.165691,10.451526
closed,1057,medium,email,feature request,1st line support,bernard beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-07 10:35:51.009,within sla,2023-01-09 01:35:54.021,within sla,2023-01-09 09:28:09.839,7.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526
in progress,1058,medium,email,pricing and licensing,1st line support,bernard beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,within sla,,sla violated,,10.0,,ready to use software,tier 1,france,48.864716,2.349014
in progress,1062,low,chat,pricing and licensing,1st line support,nicola wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,within sla,,sla violated,,60.0,,custom software development,tier 1,republic of ireland,53.094024,-8.019675
closed,1063,low,phone,feature request,1st line support,kristos westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 05:01:41.476,sla violated,2023-01-08 08:51:45.370,within sla,2023-01-12 04:26:34.100,2.0,1.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973
closed,1064,high,chat,other,1st line support,connor danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 10:59:35.789,within sla,2023-01-08 17:42:49.306,within sla,2023-01-10 20:07:57.409,5.0,5.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973
closed,1065,medium,chat,product setup,1st line support,sheela cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 01:01:24.891,within sla,2023-01-08 04:07:23.580,within sla,2023-01-10 14:51:41.345,3.0,3.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973
resolved,1066,medium,chat,product setup,1st line support,sheela cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,within sla,2023-01-10 06:21:28.868,within sla,2023-01-10 06:21:28.868,6.0,,ready to use software,tier 1,spain,39.67337,-4.767726
resolved,1067,low,email,product setup,1st line support,sheela cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,within sla,2023-01-11 01:02:32.459,within sla,2023-01-11 01:02:32.459,3.0,,custom software development,tier 1,germany,51.165691,10.451526
closed,1068,low,email,product setup,1st line support,kristos westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-09 14:48:04.246,within sla,2023-01-10 19:32:16.928,within sla,2023-01-10 23:22:09.144,3.0,1.0,ready to use software,tier 1,greece,39.368279,21.863141
closed,1069,medium,email,pricing and licensing,2nd line support,heather urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-09 17:57:41.562,within sla,2023-01-10 12:39:05.914,within sla,2023-01-15 09:04:12.484,2.0,5.0,custom software development,tier 2,poland,52.536273,19.050639
resolved,1070,high,email,pricing and licensing,2nd line support,adolpho messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,within sla,2023-01-15 17:10:06.485,sla violated,2023-01-15 17:10:06.485,1.0,,custom software development,tier 2,germany,51.165691,10.451526
closed,1071,medium,email,training request,2nd line support,michele whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-09 12:16:08.154,within sla,2023-01-10 16:04:07.277,within sla,2023-01-12 10:45:03.468,1.0,4.0,training and consulting services,tier 2,republic of ireland,53.094024,-8.019675
closed,1072,high,email,feature request,1st line support,sheela cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 21:14:31,2023-01-09 20:29:39.010,within sla,2023-01-09 20:44:54.124,within sla,2023-01-12 00:24:18.715,1.0,5.0,custom software development,tier 1,germany,51.165691,10.451526
closed,1073,medium,email,pricing and licensing,1st line support,kristos westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 10:10:39,2023-01-09 09:17:01.493,within sla,2023-01-09 21:58:19.008,within sla,2023-01-11 01:48:08.451,7.0,3.0,ready to use software,tier 1,greece,39.368279,21.863141
closed,1074,low,chat,pricing and licensing,1st line support,nicola wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:52:00,2023-01-09 06:54:53.804,sla violated,2023-01-09 22:42:49.505,within sla,2023-01-13 01:00:44.792,3.0,4.0,ready to use software,tier 1,slovenia,46.1491664,14.9860106
closed,1075,high,email,product setup,1st line support,kristos westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-09 22:50:02,2023-01-10 00:25:12.140,sla violated,2023-01-11 09:54:57.984,within sla,2023-01-16 14:36:36.530,5.0,2.0,ready to use software,tier 1,czech republic,49.8037633,15.4749126
closed,1076,low,phone,product setup,1st line support,bernard beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:57:23,2023-01-09 02:55:31.714,within sla,2023-01-10 22:20:44.266,within sla,2023-01-12 19:40:46.559,3.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1077,low,email,pricing and licensing,1st line support,sheela cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-10 02:35:28.295,within sla,2023-01-11 21:39:27.481,within sla,2023-01-11 21:39:27.481,2.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
closed,1078,low,email,pricing and licensing,1st line support,sheela cutten,2023-01-10 13:46:53,2023-01-12 13:46:53,2023-01-10 14:46:53,2023-01-10 13:50:11.579,within sla,2023-01-12 06:52:28.486,within sla,2023-01-16 01:36:05.298,7.0,2.0,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1079,low,email,product setup,1st line support,kristos westoll,2023-01-10 09:42:12,2023-01-12 09:42:12,2023-01-10 10:42:12,2023-01-10 10:30:03.208,within sla,2023-01-12 01:12:10.641,within sla,2023-01-12 01:12:10.641,2.0,,other,tier 1,germany,51.165691,10.451526
closed,1080,low,chat,product setup,1st line support,kristos westoll,2023-01-10 03:17:26,2023-01-11 03:17:26,2023-01-10 03:19:26,2023-01-10 03:17:37.264,within sla,2023-01-10 13:22:15.933,within sla,2023-01-11 12:32:23.705,3.0,3.0,training and consulting services,tier 1,spain,39.67337,-4.767726
in progress,1081,medium,chat,product setup,1st line support,bernard beckley,2023-01-10 04:29:04,2023-01-11 04:29:04,2023-01-10 04:31:04,2023-01-10 04:29:36.431,within sla,,sla violated,,3.0,,custom software development,tier 1,austria,47.6964719,13.3457347
closed,1082,low,phone,product setup,1st line support,connor danielovitch,2023-01-10 20:59:34,2023-01-12 20:59:34,2023-01-10 21:01:34,2023-01-10 21:00:37.516,within sla,2023-01-12 17:31:37.329,within sla,2023-01-12 14:16:45.427,5.0,5.0,custom software development,tier 1,poland,52.536273,19.050639
resolved,1083,low,phone,pricing and licensing,1st line support,sheela cutten,2023-01-10 23:30:30,2023-01-12 23:30:30,2023-01-10 23:32:30,2023-01-10 23:31:12.529,within sla,2023-01-12 00:58:23.880,within sla,2023-01-12 00:58:23.880,1.0,,ready to use software,tier 1,poland,52.536273,19.050639
resolved,1084,medium,email,other,1st line support,connor danielovitch,2023-01-10 10:14:54,2023-01-12 10:14:54,2023-01-10 11:14:54,2023-01-10 11:06:44.788,within sla,2023-01-11 20:40:17.303,within sla,2023-01-11 20:40:17.303,7.0,,other,tier 1,united kingdom,55.378052,-3.435973
closed,1085,high,chat,product setup,1st line support,bernard beckley,2023-01-10 07:30:22,2023-01-11 07:30:22,2023-01-10 07:32:22,2023-01-10 07:31:47.767,within sla,2023-01-10 10:50:31.437,within sla,2023-01-14 06:35:29.874,4.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1086,medium,email,purchasing and invoicing,1st line support,nicola wane,2023-01-10 17:16:11,2023-01-12 17:16:11,2023-01-10 18:16:11,2023-01-10 17:44:04.661,within sla,2023-01-12 07:22:02.841,within sla,2023-01-12 07:22:02.841,10.0,,ready to use software,tier 1,germany,51.165691,10.451526
closed,1087,low,email,feature request,2nd line support,adolpho messingham,2023-01-11 19:17:35,2023-01-13 19:17:35,2023-01-11 20:17:35,2023-01-11 19:18:54.285,within sla,2023-01-11 20:05:34.343,within sla,2023-01-15 01:15:04.648,8.0,5.0,ready to use software,tier 2,italy,43.036776,12.678565
closed,1088,low,chat,purchasing and invoicing,1st line support,nicola wane,2023-01-11 11:24:14,2023-01-12 11:24:14,2023-01-11 11:26:14,2023-01-11 11:25:37.140,within sla,2023-01-11 20:49:43.338,within sla,2023-01-13 04:59:59.615,8.0,4.0,training and consulting services,tier 1,spain,39.67337,-4.767726
resolved,1090,low,chat,feature request,1st line support,bernard beckley,2023-01-11 00:49:24,2023-01-12 00:49:24,2023-01-11 00:51:24,2023-01-11 00:50:15.651,within sla,2023-01-11 14:39:13.211,within sla,2023-01-11 14:39:13.211,4.0,,ready to use software,tier 1,italy,43.036776,12.678565
resolved,1092,medium,chat,pricing and licensing,1st line support,bernard beckley,2023-01-11 12:31:52,2023-01-12 12:31:52,2023-01-11 12:33:52,2023-01-11 12:31:53.202,within sla,2023-01-12 12:24:20.970,within sla,2023-01-12 12:24:20.970,3.0,,custom software development,tier 1,germany,51.165691,10.451526
resolved,1093,low,email,product setup,1st line support,sheela cutten,2023-01-11 13:45:35,2023-01-13 13:45:35,2023-01-11 14:45:35,2023-01-11 14:12:45.316,within sla,2023-01-12 00:00:02.086,within sla,2023-01-12 00:00:02.086,8.0,,custom software development,tier 1,united kingdom,55.378052,-3.435973
resolved,1094,low,chat,purchasing and invoicing,1st line support,connor danielovitch,2023-01-11 04:04:47,2023-01-12 04:04:47,2023-01-11 04:06:47,2023-01-11 04:05:35.487,within sla,2023-01-11 19:03:32.390,within sla,2023-01-11 19:03:32.390,6.0,,ready to use software,tier 1,czech republic,49.8037633,15.4749126
closed,1095,low,chat,feature request,1st line support,kristos westoll,2023-01-11 13:40:47,2023-01-12 13:40:47,2023-01-11 13:42:47,2023-01-11 13:43:27.490,sla violated,2023-01-16 11:43:28.653,sla violated,2023-01-18 10:44:41.595,3.0,1.0,custom software development,tier 1,czech republic,49.8037633,15.4749126
closed,1097,low,email,product setup,1st line support,bernard beckley,2023-01-11 05:29:41,2023-01-13 05:29:41,2023-01-11 06:29:41,2023-01-11 06:04:13.834,within sla,2023-01-11 17:24:42.166,within sla,2023-01-16 15:48:07.957,1.0,1.0,ready to use software,tier 1,austria,47.6964719,13.3457347
in progress,1098,medium,chat,other,1st line support,bernard beckley,2023-01-12 12:18:45,2023-01-13 12:18:45,2023-01-12 12:20:45,2023-01-12 12:19:18.598,within sla,,sla violated,,6.0,,ready to use software,tier 1,poland,52.536273,19.050639
resolved,1100,medium,email,feature request,2nd line support,heather urry,2023-01-12 22:40:11,2023-01-14 22:40:11,2023-01-12 23:40:11,2023-01-12 22:47:08.587,within sla,2023-01-13 13:58:22.732,within sla,2023-01-13 13:58:22.732,7.0,,custom software development,tier 2,italy,43.036776,12.678565
resolved,1101,high,chat,bug report,1st line support,sheela cutten,2023-01-13 15:00:14,2023-01-14 15:00:14,2023-01-13 15:02:14,2023-01-13 15:00:36.375,within sla,2023-01-14 02:58:00.277,within sla,2023-01-14 02:58:00.277,60.0,,ready to use software,tier 1,austria,47.6964719,13.3457347
resolved,1102,low,chat,other,2nd line support,michele whyatt,2023-01-13 15:16:58,2023-01-14 15:16:58,2023-01-13 15:18:58,2023-01-13 15:17:30.575,within sla,2023-01-13 21:16:38.693,within sla,2023-01-13 21:16:38.693,5.0,,ready to use software,tier 2,germany,51.165691,10.451526
resolved,1103,medium,chat,pricing and licensing,1st line support,sheela cutten,2023-01-13 12:58:56,2023-01-14 12:58:56,2023-01-13 13:00:56,2023-01-13 12:59:39.585,within sla,2023-01-13 13:19:55.416,within sla,2023-01-13 13:19:55.416,9.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
closed,1104,low,email,feature request,1st line support,connor danielovitch,2023-01-13 13:30:46,2023-01-15 13:30:46,2023-01-13 14:30:46,2023-01-13 13:37:07.145,within sla,2023-01-15 09:50:56.668,within sla,2023-01-18 02:50:09.567,3.0,5.0,other,tier 1,italy,43.036776,12.678565
closed,1105,low,chat,feature request,1st line support,kristos westoll,2023-01-13 06:47:37,2023-01-14 06:47:37,2023-01-13 06:49:37,2023-01-13 06:49:35.630,within sla,2023-01-13 09:11:25.357,within sla,2023-01-15 14:41:08.910,7.0,3.0,other,tier 1,italy,43.036776,12.678565
in progress,1106,low,chat,other,1st line support,connor danielovitch,2023-01-13 23:18:45,2023-01-14 23:18:45,2023-01-13 23:20:45,2023-01-13 23:20:43.777,within sla,,sla violated,,3.0,,custom software development,tier 1,germany,51.165691,10.451526
closed,1107,low,email,bug report,2nd line support,michele whyatt,2023-01-13 11:19:44,2023-01-15 11:19:44,2023-01-13 12:19:44,2023-01-13 11:34:07.762,within sla,2023-01-15 08:05:24.543,within sla,2023-01-15 11:12:25.378,1.0,5.0,ready to use software,tier 2,republic of ireland,53.094024,-8.019675
closed,1108,low,email,purchasing and invoicing,1st line support,bernard beckley,2023-01-13 02:10:18,2023-01-15 02:10:18,2023-01-13 03:10:18,2023-01-13 03:28:05.346,sla violated,2023-01-14 05:07:24.366,within sla,2023-01-16 18:08:35.263,4.0,4.0,ready to use software,tier 1,czech republic,49.8037633,15.4749126
closed,1109,high,chat,product setup,1st line support,nicola wane,2023-01-13 13:38:30,2023-01-14 13:38:30,2023-01-13 13:40:30,2023-01-13 13:38:53.827,within sla,2023-01-13 15:29:46.710,within sla,2023-01-17 06:36:45.502,3.0,3.0,training and consulting services,tier 1,france,48.864716,2.349014
closed,1110,high,email,product setup,2nd line support,adolpho messingham,2023-01-13 21:32:08,2023-01-15 21:32:08,2023-01-13 22:32:08,2023-01-13 22:27:03.346,within sla,2023-01-15 14:06:02.184,within sla,2023-01-19 05:07:27.605,8.0,2.0,ready to use software,tier 2,united kingdom,55.378052,-3.435973
in progress,1111,low,chat,product setup,1st line support,sheela cutten,2023-01-13 02:49:26,2023-01-14 02:49:26,2023-01-13 02:51:26,2023-01-13 02:52:27.993,sla violated,,sla violated,,9.0,,ready to use software,tier 1,spain,39.67337,-4.767726
in progress,1112,low,phone,pricing and licensing,1st line support,bernard beckley,2023-01-13 02:22:58,2023-01-15 02:22:58,2023-01-13 02:24:58,2023-01-13 02:23:44.111,within sla,,sla violated,,2.0,,ready to use software,tier 1,republic of ireland,53.094024,-8.019675
resolved,1113,low,chat,product setup,1st line support,bernard beckley,2023-01-13 01:46:37,2023-01-14 01:46:37,2023-01-13 01:48:37,2023-01-13 01:46:51.422,within sla,2023-01-17 07:29:51.862,sla violated,2023-01-17 07:29:51.862,6.0,,custom software development,tier 1,germany,51.165691,10.451526
closed,1114,medium,email,product setup,1st line support,connor danielovitch,2023-01-13 07:20:20,2023-01-15 07:20:20,2023-01-13 08:20:20,2023-01-13 08:01:51.843,within sla,2023-01-15 06:43:44.003,within sla,2023-01-21 00:17:21.652,10.0,5.0,other,tier 1,poland,52.536273,19.050639
resolved,1115,low,chat,pricing and licensing,1st line support,sheela cutten,2023-01-13 23:22:08,2023-01-14 23:22:08,2023-01-13 23:24:08,2023-01-13 23:22:16.070,within sla,2023-01-14 05:14:59.328,within sla,2023-01-14 05:14:59.328,3.0,,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1116,medium,phone,pricing and licensing,1st line support,nicola wane,2023-01-14 22:53:23,2023-01-16 22:53:23,2023-01-14 22:55:23,2023-01-14 22:54:39.449,within sla,2023-01-16 03:46:00.748,within sla,2023-01-16 03:46:00.748,7.0,,training and consulting services,tier 1,united kingdom,55.378052,-3.435973
closed,1126,medium,phone,pricing and licensing,1st line support,kristos westoll,2023-01-15 13:10:36,2023-01-17 13:10:36,2023-01-15 13:12:36,2023-01-15 13:11:21.853,within sla,2023-01-19 09:22:43.893,sla violated,2023-01-20 04:15:17.640,3.0,1.0,custom software development,tier 1,united kingdom,55.378052,-3.435973
resolved,1127,high,email,product setup,1st line support,bernard beckley,2023-01-15 06:08:54,2023-01-17 06:08:54,2023-01-15 07:08:54,2023-01-15 06:47:30.075,within sla,2023-01-15 07:23:23.466,within sla,2023-01-15 07:23:23.466,2.0,,other,tier 1,czech republic,49.8037633,15.4749126
