Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude,Actual_First_Response_Duration,Actual_First_Response_Duration_Minutes,Actual_Resolution_Duration,Actual_Resolution_Duration_Minutes,Actual_Ticket_Lifecycle_Duration,Actual_Ticket_Lifecycle_Duration_Minutes,Created_Day_of_Week_Num,Created_Day_of_Week_Name,Created_Hour_of_Day,Created_Month_Num,Created_Month_Name,Created_Year,FirstResponse_Day_of_Week_Name,FirstResponse_Hour_of_Day,Resolution_Day_of_Week_Name,Resolution_Hour_of_Day,First_Response_SLA_Met,Resolution_SLA_Met
closed,1024,medium,chat,other,1st line support,bernard beckley,2023-01-03 16:41:11,2023-01-04 16:41:11,2023-01-03 16:43:11,2023-01-03 16:43:40.942,sla violated,2023-01-03 23:52:18.292,within sla,2023-01-06 00:38:58.704,60.0,5.0,custom software development,tier 1,czech republic,49.8037633,15.4749126,0 days 00:02:29.942000,2.4990333333333337,0 days 07:11:07.292000,431.1215333333333,2 days 07:57:47.704000,3357.7950666666666,1,Tuesday,16,1,January,2023,Tuesday,16.0,Tuesday,23.0,0,1
closed,1025,low,chat,bug report,1st line support,sheela cutten,2023-01-03 04:50:04,2023-01-04 04:50:04,2023-01-03 04:52:04,2023-01-03 04:50:05.187,within sla,2023-01-07 13:17:12.368,sla violated,2023-01-09 05:37:59.166,3.0,3.0,custom software development,tier 1,poland,52.536273,19.050639,0 days 00:00:01.187000,0.0197833333333333,4 days 08:27:08.368000,6267.1394666666665,6 days 00:47:55.166000,8687.919433333334,1,Tuesday,4,1,January,2023,Tuesday,4.0,Saturday,13.0,1,0
closed,1026,low,chat,bug report,1st line support,nicola wane,2023-01-04 10:49:27,2023-01-05 10:49:27,2023-01-04 10:51:27,2023-01-04 10:50:41.566,within sla,2023-01-04 23:37:37.290,within sla,2023-01-05 12:53:53.016,2.0,4.0,ready to use software,tier 1,bulgaria,42.7249925,25.4833039,0 days 00:01:14.566000,1.2427666666666668,0 days 12:48:10.290000,768.1715,1 days 02:04:26.016000,1564.4336,2,Wednesday,10,1,January,2023,Wednesday,10.0,Wednesday,23.0,1,1
resolved,1027,low,chat,training request,1st line support,bernard beckley,2023-01-04 07:27:56,2023-01-05 07:27:56,2023-01-04 07:29:56,2023-01-04 07:28:51.784,within sla,2023-01-05 04:41:40.506,within sla,2023-01-05 04:41:40.506,3.0,,training and consulting services,tier 1,united kingdom,55.378052,-3.435973,0 days 00:00:55.784000,0.9297333333333332,0 days 21:13:44.506000,1273.7417666666663,0 days 21:13:44.506000,1273.7417666666663,2,Wednesday,7,1,January,2023,Wednesday,7.0,Thursday,4.0,1,1
resolved,1028,low,chat,bug report,1st line support,kristos westoll,2023-01-04 21:46:12,2023-01-05 21:46:12,2023-01-04 21:48:12,2023-01-04 21:46:51.236,within sla,2023-01-05 13:28:20.309,within sla,2023-01-05 13:28:20.309,2.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039,0 days 00:00:39.236000,0.6539333333333333,0 days 15:42:08.309000,942.1384833333334,0 days 15:42:08.309000,942.1384833333334,2,Wednesday,21,1,January,2023,Wednesday,21.0,Thursday,13.0,1,1
closed,1029,medium,chat,feature request,1st line support,bernard beckley,2023-01-04 09:12:41,2023-01-05 09:12:41,2023-01-04 09:14:41,2023-01-04 09:13:35.162,within sla,2023-01-05 07:45:18.346,within sla,2023-01-06 23:18:19.761,60.0,5.0,custom software development,tier 1,germany,51.165691,10.451526,0 days 00:00:54.162000,0.9027,0 days 22:32:37.346000,1352.6224333333334,2 days 14:05:38.761000,3725.6460166666666,2,Wednesday,9,1,January,2023,Wednesday,9.0,Thursday,7.0,1,1
closed,1030,medium,chat,feature request,1st line support,connor danielovitch,2023-01-04 19:36:58,2023-01-05 19:36:58,2023-01-04 19:38:58,2023-01-04 19:37:55.723,within sla,2023-01-05 02:24:20.008,within sla,2023-01-11 06:16:49.063,5.0,4.0,ready to use software,tier 1,germany,51.165691,10.451526,0 days 00:00:57.723000,0.96205,0 days 06:47:22.008000,407.3668,6 days 10:39:51.063000,9279.85105,2,Wednesday,19,1,January,2023,Wednesday,19.0,Thursday,2.0,1,1
in progress,1031,low,email,feature request,1st line support,kristos westoll,2023-01-04 18:08:24,2023-01-06 18:08:24,2023-01-04 19:08:24,2023-01-04 18:13:04.107,within sla,,sla violated,,4.0,,ready to use software,tier 1,united kingdom,55.378052,-3.435973,0 days 00:04:40.107000,4.668450000000001,,,,,2,Wednesday,18,1,January,2023,Wednesday,18.0,,,1,0
resolved,1032,low,email,product setup,2nd line support,heather urry,2023-01-04 12:47:17,2023-01-06 12:47:17,2023-01-04 13:47:17,2023-01-04 13:20:44.142,within sla,2023-01-05 07:54:03.448,within sla,2023-01-05 07:54:03.448,2.0,,other,tier 2,germany,51.165691,10.451526,0 days 00:33:27.142000,33.45236666666667,0 days 19:06:46.448000,1146.774133333333,0 days 19:06:46.448000,1146.774133333333,2,Wednesday,12,1,January,2023,Wednesday,13.0,Thursday,7.0,1,1
in progress,1034,low,chat,other,1st line support,connor danielovitch,2023-01-04 19:06:20,2023-01-05 19:06:20,2023-01-04 19:08:20,2023-01-04 19:07:35.320,within sla,,sla violated,,9.0,,training and consulting services,tier 1,germany,51.165691,10.451526,0 days 00:01:15.320000,1.2553333333333332,,,,,2,Wednesday,19,1,January,2023,Wednesday,19.0,,,1,0
in progress,1035,high,email,training request,1st line support,connor danielovitch,2023-01-04 05:27:57,2023-01-06 05:27:57,2023-01-04 06:27:57,2023-01-04 06:07:00.171,within sla,,sla violated,,7.0,,training and consulting services,tier 1,germany,51.165691,10.451526,0 days 00:39:03.171000,39.05285,,,,,2,Wednesday,5,1,January,2023,Wednesday,6.0,,,1,0
resolved,1037,low,email,product setup,1st line support,sheela cutten,2023-01-05 12:10:27,2023-01-07 12:10:27,2023-01-05 13:10:27,2023-01-05 12:34:20.255,within sla,2023-01-07 11:23:15.054,within sla,2023-01-07 11:23:15.054,1.0,,custom software development,tier 1,poland,52.536273,19.050639,0 days 00:23:53.255000,23.887583333333332,1 days 23:12:48.054000,2832.8009,1 days 23:12:48.054000,2832.8009,3,Thursday,12,1,January,2023,Thursday,12.0,Saturday,11.0,1,1
closed,1038,high,chat,other,1st line support,bernard beckley,2023-01-05 04:18:55,2023-01-06 04:18:55,2023-01-05 04:20:55,2023-01-05 04:19:42.046,within sla,2023-01-05 19:22:17.161,within sla,2023-01-12 18:08:53.602,3.0,3.0,other,tier 1,italy,43.036776,12.678565,0 days 00:00:47.046000,0.7841,0 days 15:03:22.161000,903.36935,7 days 13:49:58.602000,10909.9767,3,Thursday,4,1,January,2023,Thursday,4.0,Thursday,19.0,1,1
resolved,1039,medium,chat,purchasing and invoicing,2nd line support,adolpho messingham,2023-01-05 05:16:19,2023-01-06 05:16:19,2023-01-05 05:18:19,2023-01-05 05:18:00.531,within sla,2023-01-05 07:37:10.835,within sla,2023-01-05 07:37:10.835,3.0,,custom software development,tier 2,poland,52.536273,19.050639,0 days 00:01:41.531000,1.6921833333333334,0 days 02:20:51.835000,140.86391666666665,0 days 02:20:51.835000,140.86391666666665,3,Thursday,5,1,January,2023,Thursday,5.0,Thursday,7.0,1,1
in progress,1040,high,chat,bug report,2nd line support,heather urry,2023-01-05 14:30:37,2023-01-06 14:30:37,2023-01-05 14:32:37,2023-01-05 14:31:02.365,within sla,,sla violated,,6.0,,ready to use software,tier 2,poland,52.536273,19.050639,0 days 00:00:25.365000,0.4227499999999999,,,,,3,Thursday,14,1,January,2023,Thursday,14.0,,,1,0
closed,1041,low,chat,product setup,1st line support,bernard beckley,2023-01-05 02:59:54,2023-01-06 02:59:54,2023-01-05 03:01:54,2023-01-05 03:04:27.475,sla violated,2023-01-05 21:50:51.227,within sla,2023-01-06 11:37:32.085,8.0,2.0,ready to use software,tier 1,germany,51.165691,10.451526,0 days 00:04:33.475000,4.557916666666667,0 days 18:50:57.227000,1130.9537833333334,1 days 08:37:38.085000,1957.63475,3,Thursday,2,1,January,2023,Thursday,3.0,Thursday,21.0,0,1
closed,1043,high,email,pricing and licensing,1st line support,connor danielovitch,2023-01-05 03:31:45,2023-01-07 03:31:45,2023-01-05 04:31:45,2023-01-05 04:02:04.982,within sla,2023-01-06 17:14:14.261,within sla,2023-01-09 18:40:33.584,3.0,5.0,custom software development,tier 1,italy,43.036776,12.678565,0 days 00:30:19.982000,30.333033333333333,1 days 13:42:29.261000,2262.4876833333333,4 days 15:08:48.584000,6668.809733333333,3,Thursday,3,1,January,2023,Thursday,4.0,Friday,17.0,1,1
closed,1044,low,chat,product setup,1st line support,kristos westoll,2023-01-06 20:45:42,2023-01-07 20:45:42,2023-01-06 20:47:42,2023-01-06 20:47:41.330,within sla,2023-01-07 00:07:32.803,within sla,2023-01-13 23:39:58.864,3.0,2.0,custom software development,tier 1,italy,43.036776,12.678565,0 days 00:01:59.330000,1.9888333333333328,0 days 03:21:50.803000,201.84671666666665,7 days 02:54:16.864000,10254.281066666666,4,Friday,20,1,January,2023,Friday,20.0,Saturday,0.0,1,1
resolved,1045,medium,email,bug report,1st line support,kristos westoll,2023-01-06 20:14:59,2023-01-08 20:14:59,2023-01-06 21:14:59,2023-01-06 20:58:29.786,within sla,2023-01-08 07:15:33.362,within sla,2023-01-08 07:15:33.362,4.0,,ready to use software,tier 1,slovenia,46.1491664,14.9860106,0 days 00:43:30.786000,43.5131,1 days 11:00:34.362000,2100.5727,1 days 11:00:34.362000,2100.5727,4,Friday,20,1,January,2023,Friday,20.0,Sunday,7.0,1,1
resolved,1046,high,email,bug report,1st line support,sheela cutten,2023-01-06 15:11:41,2023-01-08 15:11:41,2023-01-06 16:11:41,2023-01-06 15:35:55.110,within sla,2023-01-07 06:22:47.483,within sla,2023-01-07 06:22:47.483,1.0,,custom software development,tier 1,poland,52.536273,19.050639,0 days 00:24:14.110000,24.235166666666665,0 days 15:11:06.483000,911.10805,0 days 15:11:06.483000,911.10805,4,Friday,15,1,January,2023,Friday,15.0,Saturday,6.0,1,1
in progress,1047,low,email,pricing and licensing,1st line support,bernard beckley,2023-01-06 03:15:21,2023-01-08 03:15:21,2023-01-06 04:15:21,2023-01-06 04:07:57.717,within sla,,sla violated,,1.0,,training and consulting services,tier 1,greece,39.368279,21.863141,0 days 00:52:36.717000,52.61195,,,,,4,Friday,3,1,January,2023,Friday,4.0,,,1,0
in progress,1048,low,chat,pricing and licensing,1st line support,bernard beckley,2023-01-06 23:55:57,2023-01-07 23:55:57,2023-01-06 23:57:57,2023-01-06 23:56:15.157,within sla,,sla violated,,8.0,,ready to use software,tier 1,greece,39.368279,21.863141,0 days 00:00:18.157000,0.3026166666666666,,,,,4,Friday,23,1,January,2023,Friday,23.0,,,1,0
closed,1049,medium,chat,pricing and licensing,1st line support,sheela cutten,2023-01-06 12:05:00,2023-01-07 12:05:00,2023-01-06 12:07:00,2023-01-06 12:06:37.265,within sla,2023-01-11 05:34:05.275,sla violated,2023-01-11 20:40:58.211,3.0,4.0,custom software development,tier 1,poland,52.536273,19.050639,0 days 00:01:37.265000,1.6210833333333334,4 days 17:29:05.275000,6809.087916666667,5 days 08:35:58.211000,7715.970183333334,4,Friday,12,1,January,2023,Friday,12.0,Wednesday,5.0,1,0
closed,1050,low,email,product setup,1st line support,nicola wane,2023-01-07 01:13:52,2023-01-09 01:13:52,2023-01-07 02:13:52,2023-01-07 01:33:11.308,within sla,2023-01-12 02:26:01.957,sla violated,2023-01-14 00:42:18.528,6.0,4.0,training and consulting services,tier 1,spain,39.67337,-4.767726,0 days 00:19:19.308000,19.3218,5 days 01:12:09.957000,7272.16595,6 days 23:28:26.528000,10048.442133333334,5,Saturday,1,1,January,2023,Saturday,1.0,Thursday,2.0,1,0
closed,1054,high,email,purchasing and invoicing,2nd line support,michele whyatt,2023-01-07 05:28:54,2023-01-09 05:28:54,2023-01-07 06:28:54,2023-01-07 06:09:50.229,within sla,2023-01-08 08:30:22.633,within sla,2023-01-14 16:18:51.456,2.0,5.0,custom software development,tier 2,italy,43.036776,12.678565,0 days 00:40:56.229000,40.93715,1 days 03:01:28.633000,1621.477216666667,7 days 10:49:57.456000,10729.9576,5,Saturday,5,1,January,2023,Saturday,6.0,Sunday,8.0,1,1
closed,1055,high,email,bug report,1st line support,connor danielovitch,2023-01-07 18:09:17,2023-01-09 18:09:17,2023-01-07 19:09:17,2023-01-07 19:04:58.137,within sla,2023-01-09 13:07:23.232,within sla,2023-01-12 22:16:01.046,8.0,4.0,ready to use software,tier 1,republic of ireland,53.094024,-8.019675,0 days 00:55:41.137000,55.68561666666667,1 days 18:58:06.232000,2578.1038666666664,5 days 04:06:44.046000,7446.7341,5,Saturday,18,1,January,2023,Saturday,19.0,Monday,13.0,1,1
resolved,1056,low,email,bug report,1st line support,kristos westoll,2023-01-07 00:13:20,2023-01-09 00:13:20,2023-01-07 01:13:20,2023-01-07 00:19:13.578,within sla,2023-01-08 13:56:19.524,within sla,2023-01-08 13:56:19.524,8.0,,custom software development,tier 1,germany,51.165691,10.451526,0 days 00:05:53.578000,5.892966666666666,1 days 13:42:59.524000,2262.9920666666667,1 days 13:42:59.524000,2262.9920666666667,5,Saturday,0,1,January,2023,Saturday,0.0,Sunday,13.0,1,1
closed,1057,medium,email,feature request,1st line support,bernard beckley,2023-01-07 09:55:14,2023-01-09 09:55:14,2023-01-07 10:55:14,2023-01-07 10:35:51.009,within sla,2023-01-09 01:35:54.021,within sla,2023-01-09 09:28:09.839,7.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526,0 days 00:40:37.009000,40.616816666666665,1 days 15:40:40.021000,2380.6670166666668,1 days 23:32:55.839000,2852.93065,5,Saturday,9,1,January,2023,Saturday,10.0,Monday,1.0,1,1
in progress,1058,medium,email,pricing and licensing,1st line support,bernard beckley,2023-01-08 13:39:52,2023-01-10 13:39:52,2023-01-08 14:39:52,2023-01-08 14:36:27.207,within sla,,sla violated,,10.0,,ready to use software,tier 1,france,48.864716,2.349014,0 days 00:56:35.207000,56.58678333333333,,,,,6,Sunday,13,1,January,2023,Sunday,14.0,,,1,0
in progress,1062,low,chat,pricing and licensing,1st line support,nicola wane,2023-01-08 19:35:27,2023-01-09 19:35:27,2023-01-08 19:37:27,2023-01-08 19:36:35.285,within sla,,sla violated,,60.0,,custom software development,tier 1,republic of ireland,53.094024,-8.019675,0 days 00:01:08.285000,1.1380833333333331,,,,,6,Sunday,19,1,January,2023,Sunday,19.0,,,1,0
closed,1063,low,phone,feature request,1st line support,kristos westoll,2023-01-08 04:56:45,2023-01-10 04:56:45,2023-01-08 04:58:45,2023-01-08 05:01:41.476,sla violated,2023-01-08 08:51:45.370,within sla,2023-01-12 04:26:34.100,2.0,1.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973,0 days 00:04:56.476000,4.9412666666666665,0 days 03:55:00.370000,235.00616666666667,3 days 23:29:49.100000,5729.818333333333,6,Sunday,4,1,January,2023,Sunday,5.0,Sunday,8.0,0,1
closed,1064,high,chat,other,1st line support,connor danielovitch,2023-01-08 10:58:22,2023-01-09 10:58:22,2023-01-08 11:00:22,2023-01-08 10:59:35.789,within sla,2023-01-08 17:42:49.306,within sla,2023-01-10 20:07:57.409,5.0,5.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973,0 days 00:01:13.789000,1.2298166666666668,0 days 06:44:27.306000,404.4551,2 days 09:09:35.409000,3429.5901500000004,6,Sunday,10,1,January,2023,Sunday,10.0,Sunday,17.0,1,1
closed,1065,medium,chat,product setup,1st line support,sheela cutten,2023-01-08 01:00:01,2023-01-09 01:00:01,2023-01-08 01:02:01,2023-01-08 01:01:24.891,within sla,2023-01-08 04:07:23.580,within sla,2023-01-10 14:51:41.345,3.0,3.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973,0 days 00:01:23.891000,1.3981833333333331,0 days 03:07:22.580000,187.3763333333333,2 days 13:51:40.345000,3711.672416666667,6,Sunday,1,1,January,2023,Sunday,1.0,Sunday,4.0,1,1
resolved,1066,medium,chat,product setup,1st line support,sheela cutten,2023-01-09 14:16:59,2023-01-10 14:16:59,2023-01-09 14:18:59,2023-01-09 14:17:22.391,within sla,2023-01-10 06:21:28.868,within sla,2023-01-10 06:21:28.868,6.0,,ready to use software,tier 1,spain,39.67337,-4.767726,0 days 00:00:23.391000,0.38985,0 days 16:04:29.868000,964.4978,0 days 16:04:29.868000,964.4978,0,Monday,14,1,January,2023,Monday,14.0,Tuesday,6.0,1,1
resolved,1067,low,email,product setup,1st line support,sheela cutten,2023-01-09 15:09:10,2023-01-11 15:09:10,2023-01-09 16:09:10,2023-01-09 15:37:18.542,within sla,2023-01-11 01:02:32.459,within sla,2023-01-11 01:02:32.459,3.0,,custom software development,tier 1,germany,51.165691,10.451526,0 days 00:28:08.542000,28.142366666666664,1 days 09:53:22.459000,2033.3743166666668,1 days 09:53:22.459000,2033.3743166666668,0,Monday,15,1,January,2023,Monday,15.0,Wednesday,1.0,1,1
closed,1068,low,email,product setup,1st line support,kristos westoll,2023-01-09 14:10:12,2023-01-11 14:10:12,2023-01-09 15:10:12,2023-01-09 14:48:04.246,within sla,2023-01-10 19:32:16.928,within sla,2023-01-10 23:22:09.144,3.0,1.0,ready to use software,tier 1,greece,39.368279,21.863141,0 days 00:37:52.246000,37.87076666666667,1 days 05:22:04.928000,1762.082133333333,1 days 09:11:57.144000,1991.9524,0,Monday,14,1,January,2023,Monday,14.0,Tuesday,19.0,1,1
closed,1069,medium,email,pricing and licensing,2nd line support,heather urry,2023-01-09 17:25:30,2023-01-11 17:25:30,2023-01-09 18:25:30,2023-01-09 17:57:41.562,within sla,2023-01-10 12:39:05.914,within sla,2023-01-15 09:04:12.484,2.0,5.0,custom software development,tier 2,poland,52.536273,19.050639,0 days 00:32:11.562000,32.192699999999995,0 days 19:13:35.914000,1153.5985666666668,5 days 15:38:42.484000,8138.708066666667,0,Monday,17,1,January,2023,Monday,17.0,Tuesday,12.0,1,1
resolved,1070,high,email,pricing and licensing,2nd line support,adolpho messingham,2023-01-09 18:55:21,2023-01-11 18:55:21,2023-01-09 19:55:21,2023-01-09 19:32:12.017,within sla,2023-01-15 17:10:06.485,sla violated,2023-01-15 17:10:06.485,1.0,,custom software development,tier 2,germany,51.165691,10.451526,0 days 00:36:51.017000,36.85028333333333,5 days 22:14:45.485000,8534.758083333332,5 days 22:14:45.485000,8534.758083333332,0,Monday,18,1,January,2023,Monday,19.0,Sunday,17.0,1,0
closed,1071,medium,email,training request,2nd line support,michele whyatt,2023-01-09 11:56:11,2023-01-11 11:56:11,2023-01-09 12:56:11,2023-01-09 12:16:08.154,within sla,2023-01-10 16:04:07.277,within sla,2023-01-12 10:45:03.468,1.0,4.0,training and consulting services,tier 2,republic of ireland,53.094024,-8.019675,0 days 00:19:57.154000,19.952566666666662,1 days 04:07:56.277000,1687.93795,2 days 22:48:52.468000,4248.874466666666,0,Monday,11,1,January,2023,Monday,12.0,Tuesday,16.0,1,1
closed,1072,high,email,feature request,1st line support,sheela cutten,2023-01-09 20:14:31,2023-01-11 20:14:31,2023-01-09 21:14:31,2023-01-09 20:29:39.010,within sla,2023-01-09 20:44:54.124,within sla,2023-01-12 00:24:18.715,1.0,5.0,custom software development,tier 1,germany,51.165691,10.451526,0 days 00:15:08.010000,15.1335,0 days 00:30:23.124000,30.3854,2 days 04:09:47.715000,3129.79525,0,Monday,20,1,January,2023,Monday,20.0,Monday,20.0,1,1
closed,1073,medium,email,pricing and licensing,1st line support,kristos westoll,2023-01-09 09:10:39,2023-01-11 09:10:39,2023-01-09 10:10:39,2023-01-09 09:17:01.493,within sla,2023-01-09 21:58:19.008,within sla,2023-01-11 01:48:08.451,7.0,3.0,ready to use software,tier 1,greece,39.368279,21.863141,0 days 00:06:22.493000,6.374883333333333,0 days 12:47:40.008000,767.6668000000001,1 days 16:37:29.451000,2437.49085,0,Monday,9,1,January,2023,Monday,9.0,Monday,21.0,1,1
closed,1074,low,chat,pricing and licensing,1st line support,nicola wane,2023-01-09 06:50:00,2023-01-10 06:50:00,2023-01-09 06:52:00,2023-01-09 06:54:53.804,sla violated,2023-01-09 22:42:49.505,within sla,2023-01-13 01:00:44.792,3.0,4.0,ready to use software,tier 1,slovenia,46.1491664,14.9860106,0 days 00:04:53.804000,4.896733333333333,0 days 15:52:49.505000,952.8250833333332,3 days 18:10:44.792000,5410.746533333334,0,Monday,6,1,January,2023,Monday,6.0,Monday,22.0,0,1
closed,1075,high,email,product setup,1st line support,kristos westoll,2023-01-09 21:50:02,2023-01-11 21:50:02,2023-01-09 22:50:02,2023-01-10 00:25:12.140,sla violated,2023-01-11 09:54:57.984,within sla,2023-01-16 14:36:36.530,5.0,2.0,ready to use software,tier 1,czech republic,49.8037633,15.4749126,0 days 02:35:10.140000,155.16899999999998,1 days 12:04:55.984000,2164.9330666666665,6 days 16:46:34.530000,9646.5755,0,Monday,21,1,January,2023,Tuesday,0.0,Wednesday,9.0,0,1
closed,1076,low,phone,product setup,1st line support,bernard beckley,2023-01-09 02:55:23,2023-01-11 02:55:23,2023-01-09 02:57:23,2023-01-09 02:55:31.714,within sla,2023-01-10 22:20:44.266,within sla,2023-01-12 19:40:46.559,3.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526,0 days 00:00:08.714000,0.1452333333333333,1 days 19:25:21.266000,2605.3544333333334,3 days 16:45:23.559000,5325.39265,0,Monday,2,1,January,2023,Monday,2.0,Tuesday,22.0,1,1
resolved,1077,low,email,pricing and licensing,1st line support,sheela cutten,2023-01-10 02:10:01,2023-01-12 02:10:01,2023-01-10 03:10:01,2023-01-10 02:35:28.295,within sla,2023-01-11 21:39:27.481,within sla,2023-01-11 21:39:27.481,2.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039,0 days 00:25:27.295000,25.45491666666667,1 days 19:29:26.481000,2609.44135,1 days 19:29:26.481000,2609.44135,1,Tuesday,2,1,January,2023,Tuesday,2.0,Wednesday,21.0,1,1
